Opportunity Name,SFDC URL,Account Name,Stage (Raw),Stage Bucket,ACV / Amount ($),Close Date,Created Date,Last Activity Date,Owner,Employees,Employee Bucket,EHR (Raw),EHR (Normalized),Providers (Opp Field),# Related Opps (Account),Opportunity ID,Account ID
Billnet Solutions - Partnership,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000AoAODIA3/view,Billnet Solutions/ Bright Start,Closed Lost,Closed Lost / Nurture,,2025-12-31,2024-09-30,2024-12-11,Ramesh Munnangi,,Unknown,TBD,Unknown,,2,006Vo00000AoAODIA3,001Vo00000FZtNeIAL
Block Sports Chiropractic And Physical Therapy,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000bwFMTIA2/view,Block Sports Chiropractic And Physical Therapy,Closed Lost,Closed Lost / Nurture,100000.0,2025-11-30,2025-07-07,2025-07-29,Bethany Ayer,,Unknown,ChiroTouch,Other,,1,006Vo00000bwFMTIA2,001Vo00000iDqIqIAK
Carolina Digestive Health Associates PA - RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000zI6qEIAS/view,Carolina Digestive Health Associates PA,Closed Lost,Closed Lost / Nurture,403750.0,2026-02-28,2025-11-14,2025-12-18,Joshua Crawford,119,0-300,ModMed,Modernizing Medicine,,2,006Vo00000zI6qEIAS,001Vo000008wtplIAA
Cary Fuquay and Apex Pediatric Centers (FKA Cary Pediatric Center) - RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001BIjHdIAL/view,Cary Fuquay and Apex Pediatric Centers (FKA Cary Pediatric Center),Closed Lost,Closed Lost / Nurture,337500.0,2026-04-30,2026-01-23,,Joshua Crawford,67,0-300,Physician's Computer Company (PCC),Other,16.0,2,006Vo00001BIjHdIAL,0017V000024NJCeQAO
Century Medical and Dental Center,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000hrX1tIAE/view,Century Medical and Dental Center,Closed Lost,Closed Lost / Nurture,1800000.0,2026-03-31,2025-08-12,2025-08-27,Janann Turner,,Unknown,ECW,eClinicalWorks,,2,006Vo00000hrX1tIAE,001Vo00000nv0nAIAQ
Chicago Center for Sports Medicine and Orthopedic Surgery,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000bKl0iIAC/view,Chicago Center for Sports Medicine and Orthopedic Surgery (Primus Orthopedics),Closed Lost,Closed Lost / Nurture,97750.0,2025-11-04,2025-07-02,2025-10-06,Amelia Paraskevas,8,0-300,eClinicalWorks; V11 EHR,eClinicalWorks,,4,006Vo00000bKl0iIAC,0017V00001WfPz9QAF
Children's Hospital Los Angeles - Voice Agents Pilot,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Lh8pTIAR/view,Childrens Hospital Los Angeles,9. Lost/Nurture,Closed Lost / Nurture,12500.0,2026-02-18,2025-03-06,,Lexi Hull,6460,"5,000+",,Unknown,,15,006Vo00000Lh8pTIAR,001Vo000008wwQ7IAI
Citrus Valley Gastroenterology - RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/0067V000026wbWJQAY/view,Citrus Valley Gastroenterology,Closed Lost,Closed Lost / Nurture,301999.56,2023-08-10,2023-04-04,2023-04-21,Christopher Schaub,8,0-300,NextGen Healthcare,Other,11.0,1,0067V000026wbWJQAY,0017V00001WfxpjQAB
Coastal Eye Associates PLLC,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000NqI0SIAV/view,Coastal Eye Associates PLLC,Closed Lost,Closed Lost / Nurture,48555.0,2025-07-11,2025-03-27,2025-04-14,Greg Mangum,,Unknown,Nextech Systems,Other,16.0,1,006Vo00000NqI0SIAV,001Vo00000OdbUgIAJ
Commure Agent - Rising Health Specialty,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000MLotIIAT/view,Rising Health Specialty,Closed Lost,Closed Lost / Nurture,,2025-05-19,2025-03-13,2025-03-17,Ernest Chan,,Unknown,,Unknown,4.0,2,006Vo00000MLotIIAT,001Vo00000FwTfJIAV
